challenge,prediction,d12,d13,d23,d14,d24,d34
0,3,0.21159937692759634,0.3605972876194886,0.43993762137067394,0.8059490907144147,0.7257364505876831,0.6811165969665842
1,3,0.3092363220062093,0.48283572738663405,0.47282261831296923,0.6691727024731949,0.7581095309142822,0.78382183013884
2,3,0.4397823658781055,0.4013428622730735,0.025613953328339156,0.88721475434465,0.8411359718820752,0.8543292275231587
3,1,0.4354446322573685,0.27077553110199937,0.5563892969245208,0.25482732275725395,0.557873942987576,0.3987153971854076
4,1,0.5980326539858967,0.5092196048649014,0.6660276955283388,0.3006909193675591,0.5809007469489404,0.5265580131706309
5,3,0.24439848611505666,0.27238298095342295,0.15490151771559113,0.4823112531746587,0.5231052400442013,0.6109641972193771
6,3,0.5413994340480395,0.5729911392349788,0.3222511794725722,0.7761048071648221,0.5550038953767814,0.5837381908032176
7,2,0.10681437137766481,0.8329483869686357,0.8644708353311598,0.6836320690127723,0.6439103071389312,0.8602501945803512
8,3,0.28529109550567366,0.6928040764260834,0.7146665123899902,0.8631415241175681,0.8719270401715447,0.6556066585897949
9,3,0.22239047671855383,0.1800620866868714,0.028222175851473796,0.5274380094913791,0.6605071576804222,0.6096879621255392
10,3,0.2461022805897607,0.3638037839024506,0.2413898879068913,0.2982120732355371,0.3526344583122174,0.4706925426118772
11,3,0.3066307053283127,0.7908564392902381,0.7275545941559536,0.7581240959982366,0.8391903697925276,0.9117424581888797
12,0,0.930416795295541,0.9673235422341421,0.3066307053283127,1.002506714040812,0.8344505308096636,0.7716363856351707
13,1,0.4041256219982303,0.16451340978447493,0.4370820015748721,0.41986005904081714,0.6054203482256715,0.39983193075051593
14,2,0.3718004639557788,0.8744388112709099,0.879706425776346,0.6560743199584087,0.6674415331883532,0.8400479003070738
15,0,0.9361494991989026,0.9411382917447039,0.2904072965735892,0.9590212422826653,0.6964320792394993,0.6724831965174767
16,2,0.5272379052428453,0.6986975441390191,0.686235478120826,0.7107562709297564,0.5575729387125361,0.7101903814778396
17,1,0.8551089799101734,0.5461601187319708,0.8858391875402125,0.6954821274633735,0.94094854483278,0.7537710877296211
