challenge,prediction,d12,d13,d23,d14,d24,d34
0,3,0.10297829325542385,0.19248114580308495,0.3012646923022504,0.9992301479615525,0.9978846640801423,0.7524347772851964
1,3,0.4147887713354508,0.5257000081825097,0.5994613220822117,0.9910199287655918,0.9696057606475249,0.9834492639972069
2,3,0.5548345290243102,0.5981161914412214,0.19426797379316685,0.9021610741884549,0.8534869074065243,0.7786494045178008
3,0,0.49548948913053914,0.5271799067153531,0.3253885089095472,0.4184901696864879,0.14965025520663766,0.27927400014647086
4,1,0.6036484723749354,0.3682507449032226,0.8632501860374762,0.3992546575256791,0.8295050378820367,0.5919329037296077
5,3,0.12522577977453464,0.13479747643579632,0.047023644674986764,0.8692510581226471,0.7764738245466606,0.8485402486402436
6,0,0.9769033796627231,0.8097849419631202,0.8534365118637386,0.9986664968606289,0.9285693875934009,0.8133556121017292
7,2,0.2861832326580894,0.9538583039377235,0.94665429128449,0.8775026980468877,0.8578455280956744,0.91041572407369
8,0,0.2941362064324936,0.9085196719412252,0.8440409053386037,0.9195201282069912,0.8626409744096908,0.3225411359427439
9,3,0.5143952985943923,0.40140116645624324,0.04419944108496432,0.6557330442416883,0.7840705426708529,0.7783595590626184
10,3,0.5867156430755088,0.3961518919249719,0.4997751821878933,0.676106639863594,0.5915325882671395,0.7014713845457231
11,3,0.37350494016351865,0.23865754502049497,0.44330120171493403,0.905112313819204,0.9221945030203618,0.989226045996794
12,3,0.9123592419068537,0.8723840837990848,0.37350494016351865,0.9999961537449312,0.9543697787729656,0.994290662899554
13,1,0.6251886339401662,0.4603400514435797,0.9057612742542047,0.2368676208182321,0.7707302348490306,0.4324905447966598
14,2,0.3878083790509119,0.9991743544962943,0.9998881033197814,0.9348764709048187,0.801896923359857,0.9014334376555018
15,0,0.9622356828590674,0.9768598670631244,0.31261908879719125,0.9612700822815904,0.638542179174916,0.7276952080422195
16,2,0.9854000606847158,0.998421246945669,0.9989775211458879,0.9712003735460069,0.9228951789689539,0.9891124633861356
17,1,0.8022972332433504,0.6717848550208889,0.8906835829197163,0.7805149762611499,0.881280522328874,0.8582335846872998
18,0,0.9703263305164905,0.8157873830196978,0.6283784901226706,0.9218670590638982,0.41038396181162107,0.3604958718982878
19,2,0.867177454533975,0.9562363488979359,0.9143321670693815,0.6791043883287791,0.8396395158321639,0.9668511250349351
20,3,0.8477039531362538,0.8557947775251271,0.3701264022347749,0.8855113183628253,0.8128422591510239,0.9508589198231894
21,2,0.7127216697235002,0.9048678058471679,0.9274094296170556,0.9715426314586338,0.8132374117709339,0.887158474577046
22,3,0.6435097654729005,0.7557183261566766,0.8855674035512744,0.9885916681574689,0.99354977794019,0.979188549258322
23,3,0.7790119375128438,0.7392138835678459,0.8972410620363407,0.8794390775519624,0.9095478648605085,0.8744179618236844
24,3,0.7034324957491022,0.7490974868055664,0.9125624880078305,0.9272181640341387,0.9917107870962948,0.9822576219724052
25,0,0.9747657998244993,0.9979946886782797,0.9901876553543058,0.9981483124781931,0.8510347501445057,0.9388239240452481
26,1,0.875136528792999,0.8417757757453154,0.8763927911595804,0.8645270461219564,0.93628062940326,0.8455194788912594
27,1,0.999917332410592,0.9141073655060883,0.9895237304090061,0.5414164074911534,0.8991648985203431,0.7607449427995266
28,2,0.7002356005065502,0.8642980117242178,0.8514843073674306,0.8887194908364794,0.7793824123771994,0.9244053840931143
29,1,0.8289107253462892,0.6855851285301631,0.9744516804304209,0.3086679765754242,0.9149285871349682,0.7095500341855232
30,0,0.842261671849638,0.8114051868632493,0.36917192713929026,0.740402507309969,0.44715552591117447,0.2849365598771907
31,1,0.9569331210326656,0.839083577453142,0.8762321075500222,0.6477017824259975,0.9537550645882363,0.8839156802392535
32,3,0.8585373200880863,0.46185032081255395,0.986711569372972,0.9443074758439939,0.981992144158473,0.9591940022528733
33,3,0.8414003911365019,0.9352090035701393,0.41088429151256034,0.7343370446521196,0.8925590889127429,0.8866324621881925
34,0,0.9999418581645251,0.9975098824536973,0.7237827844538083,0.9968153538752569,0.7526001877916622,0.9960107326872955
35,3,0.906813140803689,0.9623404556759927,0.8734355204840037,0.9999356093372663,1.0,0.9638790754885582
36,1,0.9992423435348351,0.9715297847809994,0.9999946562575877,0.6423864659568153,0.9917387305135211,0.9892270012513797
37,1,0.9829159392744955,0.09639372976858951,0.9918234834391618,0.9842851833329507,0.999993017403123,0.9858888190626883
38,0,0.6968415299783451,0.7842665309975057,0.2478792809231295,0.5259646283204689,0.13907397642575503,0.20269276587964435
39,1,0.906813140803689,0.9535442385139468,0.9815115453654273,0.8272342186205954,0.9075855019960696,0.8081533617504207
40,2,0.684381666458827,0.9773681227223054,0.9815287806816173,0.7396349606152204,0.6925863563947472,0.9791087871312838
41,2,0.5805080246066985,0.9698551301805771,0.90980137970029,0.8516033948230874,0.703885807770124,0.9826660061001058
42,0,0.6179383967967994,0.8137576921466771,0.6691990007975575,0.8234315811766617,0.5952037090905202,0.6890505239161469
43,3,0.5017373236389057,0.44695031397716267,0.4322822986463576,0.7628704149865861,0.274683812726921,0.8256329373163723
44,3,0.24043879311302818,0.37202528421763903,0.48152137496261416,0.7468948531839068,0.6374190399385262,0.8012715671530426
45,0,0.7981713847446326,0.6662288665295721,0.6234155692873735,0.7821591552812613,0.7142105242145044,0.6454422432512426
46,1,0.8768116083517117,0.8048174922290579,0.9087363109412983,0.8741792151605658,0.9420196919981313,0.8401478366247956
47,2,0.8300754791608984,0.8875415927306387,0.9415936838162603,0.994336750691081,0.8014784207877823,0.9992914599672416
48,3,0.22252021052170234,0.3099284322522914,0.06020078922659444,0.9962800156007816,0.989405365811595,0.9932593440446567
49,1,0.9179747432975444,0.5661683560549051,0.9109504074368506,0.7865445442185615,0.9405695399506128,0.6225040131544259
50,3,0.0048860681885442014,0.9553810818891468,0.9655548284796653,0.9876667414808619,1.0,0.4773367345267735
51,2,0.9389644375135372,0.9351709145602036,0.9555810013773363,0.7347997304192257,0.9294707044833008,0.9984742049075762
52,0,0.9216930482778607,0.9021839222228712,0.7415377062972716,0.9639568880087497,0.9030900119202907,0.8901293316675523
53,2,0.4775102327309494,0.8497731439376519,0.9637485936022852,0.44014129710389016,0.7833299138197125,0.8528617557721136
54,2,0.764375363194531,0.9975361853237352,0.9952484297928363,0.4605098278221621,0.5739182532891995,0.9977637372520314
55,2,0.40202558584240267,0.9256455592074675,0.9888264726810401,0.192926149333699,0.5625366820013877,0.9816224776796986
56,3,0.1173246365768077,0.223086942471589,0.4733905116537338,0.829658948277838,0.9479835760419342,0.5762203461247475
57,3,0.8130962934106635,0.986304701927179,0.9502814372873539,0.9844834884225503,0.9619444727374349,0.9613463588188222
58,3,0.4182586469135813,0.8070243774781632,0.9979869300543758,0.9287917044453816,0.9915544562849536,1.0
59,1,0.9998043818716376,0.7448529041310511,0.94347317125086,0.991429548981714,0.852859787442579,0.9321851026189383
60,3,0.8229735752809743,0.7388064651363673,0.3812214818940455,0.9977737770145133,0.7571337400193521,0.8108786577759628
61,1,0.9949576392604926,0.7963023957809935,0.9588340521543314,0.7359843045485706,0.7986099349814798,0.7731300783900126
62,3,0.579706991813951,0.986883933038407,0.7108141897958271,0.9676636105304981,0.9874728212202779,0.9613484983693655
63,2,0.35628982672089693,0.6647197943905085,0.8130243205869244,0.4800214352327199,0.795142660057619,0.601075706497318
64,3,0.6404887852868957,0.914893196383622,0.5329236171801943,0.9806871409596373,0.9233344112576888,0.9626129066458402
65,3,0.9141769510458764,0.757347585733179,0.6593439995717947,0.9867337719394271,0.9216602652247802,0.9132083243706741
66,1,0.7516788781399424,0.6064649448530752,0.7601891227688089,0.4804240672872544,0.6042263071252245,0.3454332976352098
67,2,0.8937707335337719,0.8551601082893004,0.9875558367744636,0.7059726968560733,0.8290775723103787,0.9633964978352093
68,3,0.47533605812776314,0.6879073914541469,0.5461073549904616,0.9356088535591348,0.924311668553202,0.8991055785123434
69,0,0.7179497155716706,0.7465771408171564,0.1963350721308148,0.6452456027138803,0.3590279184035171,0.42472973986701423
70,0,0.9978847106430067,0.8323208816549665,0.727936313134143,0.9107203222814514,0.8738290082522872,0.7573762233482145
71,3,0.09900967004166361,0.12334888966352564,0.01847814110272772,0.9869117965306843,0.7829446276237056,0.8039007357971304
72,3,0.7288484132334463,0.7669107640705416,0.275291922240145,0.9677301370976014,0.9257582596131897,0.906553038153819
73,3,0.9209538179848025,0.3415261152993132,0.5999408272538249,0.9696740801452148,0.7959825676703528,0.8203063855726819
74,1,0.916169938011325,0.08386296875694521,0.7179597985763517,0.42345243324017046,0.44008728713986434,0.32885660028711905
75,3,0.051730008260859606,0.23429243295130053,0.24865421781962593,0.5549076059223059,0.5832713422414919,0.5423186284912148
76,3,0.09899511430400298,0.030361793838800666,0.15065958941619917,0.6481266594783333,0.6312597657783985,0.6994000076971034
77,3,0.6931644546912039,0.6843526551843431,0.6069018968508075,0.9884356958018214,0.9418039258909854,0.9395800771439452
78,3,0.6611438954452773,0.6116085186763478,0.6455100691135813,0.9828112848563707,0.9691908226451651,0.9421371699703653
79,3,0.6499226159566841,0.8477039531362538,0.909061293450509,0.9582578355128069,0.9367757552897072,0.917920394384188
