challenge,prediction,d12,d13,d23,d14,d24,d34
0,[3],0.8708611877904144,0.943212945009156,0.945645541165906,0.9980354469216617,0.9998227571339865,0.9951958704461193
1,[3],0.9694576181342018,0.9446558833391804,0.9927615448233882,0.9990677124545834,0.9995209099996442,1.0
2,[3],0.9825884092559569,0.9424483749930317,0.8986202650182196,0.9987919864306125,0.9902414307278964,0.9997542002608364
3,[3],0.95284096813181,0.975662149523347,0.9878255475689293,0.9934217306973536,0.9907095732428973,0.9854318899633734
4,[3],0.9266720810775082,0.9927183190001487,0.9721983833314763,0.9978294716414562,0.9938200964627111,0.9988142739428993
5,[3],0.7341537122023435,0.7823814539102386,0.7841279620436771,0.9999800540231932,0.999737037079518,0.9997110626956499
6,[3],0.9862393763664489,0.8223978689722209,0.9847631096890792,0.993491645658581,0.9312529287181437,0.9944981569648639
7,[3],0.9037989701371265,0.9762882977565474,0.9624777371488893,0.9986531367215394,0.9952467720020551,0.9996059778444648
8,[3],0.9952152508305686,0.9955133767369827,0.9993647435751837,0.9993828410283467,0.9987719351578548,0.999552223523827
9,[3],0.9762541297372473,0.8624396893573731,0.9888007337156174,0.9999455336319585,0.9938351627576668,0.9996695861398084
10,[3],0.9945611724531429,0.9984479288297005,0.9981408179199481,0.9997474726976767,0.9980477256343354,0.9986676050860539
11,[3],0.9468608416330776,0.9192847576631196,0.9992723737457475,0.9999391436346864,1.0,1.0
12,[3],0.994162901639034,0.9928350162860207,0.9922815634806077,0.9946032308722855,0.9955409886967876,0.9996937744084531
13,[3],0.9176050439118764,0.9673861286486666,0.9803824929271455,0.9979067837461519,1.0,1.0
14,[3],0.9996087712632282,0.9997406001952651,0.9992517053380974,0.9994210719288104,1.0,1.0
15,[3],0.984370839718058,0.9479520821538586,0.9720401228880549,0.9945633440189888,0.9978757562352514,0.9983720052982539
16,[3],0.8827163907439199,0.9664207473690444,0.9380684045497564,0.9999193931443128,0.9999719252981657,0.9512728854664665
17,[0],0.9999849826382425,1.0,0.9934408999746064,0.9975824295832344,0.9989895804439682,0.9984597708290098
18,[3],0.9341141399134594,0.951194747023484,0.9460638805487217,0.9978200689461053,0.9970985736473194,0.9989721925611028
19,[3],0.9773220974434725,0.9848146057107356,0.9841397177971916,0.9949438021770951,0.9957656566944743,0.9991980881178272
20,[1],0.89399774253684,0.9010605218362017,0.9411551603863625,0.8990328362409017,0.9252300271974527,0.8944712478444312
21,[3],0.4767289107799022,0.4558193264294733,0.46590430698407714,0.8625311976798935,0.8809667053339441,0.8747483913938515
22,[3],0.8756167021058796,0.9363469391619067,0.9454586935423777,0.9587055221290202,0.9853090365514654,0.9883720963688862
23,[3],0.9820878654799575,0.913253759719632,0.97112955130308,0.9753934118613511,0.9981578402371456,0.9852298380946414
24,[3],0.9618937704489617,0.9827000248949372,0.9390496235442675,0.9976586801201348,0.9945533574766706,0.9999341433828217
25,[2],0.9550086702766424,0.9509508837102172,0.972376211892963,0.960535046798064,0.9251488922456124,0.953898416799365
26,[3],0.9593728678831374,0.9776275572233023,1.0,0.9998889948857365,1.0,0.9999556844412429
27,[3],0.9313329382092506,0.9669818541606531,0.8700727300706731,0.9993081847672971,0.9936046057616781,0.9986710975386476
28,[3],0.9432966906237519,0.9877384342729935,0.9515640308169597,0.9993814526621716,1.0,0.999994515504169
29,[3],0.9643276765989732,0.9308410252484223,0.8078709146216931,0.9701151380102189,0.9920255178155102,0.9902490143832744
30,[2],0.9688369868766993,0.9787992224967176,0.98448870404862,0.9660628756791886,0.9840280637674546,0.9933723703661756
31,[3],0.8748160984399778,0.9442373319437064,0.9603860969154836,0.9863317160182836,0.9611823948905047,0.9982310012633441
32,[3],0.8216205007876102,0.8765811475248094,0.8192640505040194,0.973983949082648,0.9720455793916999,0.9759052853541845
33,[3],0.8775590357361005,0.9053058450529318,0.8930581631607566,0.981124170812166,0.9771297404455823,0.98319163369824
34,[3],0.9605503760020603,0.9513226537623766,0.9463895597558866,0.9849362289065569,0.9952319028944703,0.9989806086059726
35,[1],1.0,0.7162342596669118,1.0,0.9424044809744481,1.0,0.8876694720652516
36,[3],0.9018613049105177,0.9562422139846072,0.9744571518608968,0.971957234278354,0.9843790417872158,0.981440769017914
37,[3],0.9174750210842437,0.9282026958264646,0.9050584267361759,0.9764595266744163,0.9831655415710656,0.9973679468946989
38,[1],0.9728589841307173,0.9220784784981227,1.0,0.9764595266744163,1.0,0.9930555931815247
39,[3],0.9743499656062145,0.9731376935671242,0.9833799912527811,0.974316108579454,0.9999405317588463,0.9986943241038493
40,[3],0.9281855743401878,0.9039146165645002,0.9252340729729873,0.9996841057354593,1.0,1.0
41,[3],0.9252052769687783,0.9369815610442568,0.9180458983325426,1.0,1.0,1.0
42,[3],0.8575204545397586,0.9136517602057536,0.8670541282593464,0.9972727771234156,0.9680178033947526,0.9977266282347981
43,[2],0.9361908810382685,0.9995916517721527,0.9939189353569776,0.9732410509514693,0.9604246647643668,1.0
44,[2],0.9974885419918512,1.0,1.0,0.9904348766093781,1.0,1.0
45,[1],1.0,0.44842448675208524,1.0,0.9986961939070413,1.0,0.9992261138120765
46,[3],0.9643044458643987,0.991848672083992,0.995076810521571,1.0,0.9996449729108547,0.9996430273946305
47,[2],0.9875576674690408,0.9996708587445617,0.991886880749944,0.9900214390956128,0.999301375531417,0.9999430081941969
48,[3],0.9318877065004392,0.9419396035176613,0.8931059844215073,1.0,1.0,1.0
49,[3],0.9071488174172393,0.9208320476615668,0.9354493947679867,0.9941705440856318,1.0,0.9986325341183934
50,[3],0.7995408267013211,0.9783859727197141,0.9711375809691937,0.9999040853746851,0.9934167778610303,0.9977990115199169
51,[3],0.9702445258532799,0.9254617668194822,0.9865607841250245,0.999997028418057,1.0,1.0
52,[3],0.9428694402207027,0.9990385954069682,0.9989717351448524,1.0,0.9999597856529953,0.9994602589097532
53,[3],1.0,1.0,1.0,1.0,1.0,1.0
54,[1],0.9918389714363881,0.982237947239139,1.0,0.940222218494069,0.9990672757734325,0.9899156162665588
55,[1],0.9874452110870177,0.9060692719370254,0.9912013535758746,0.9904648540709478,0.9953208736807366,0.9855718517477112
56,[1],0.8725011138537522,0.9132078787099823,0.9417179040527692,0.944324462135566,0.9423843933324975,0.837252721845072
57,[2],0.8627105699960367,0.9871848594850503,0.9829463275093556,0.9438423149701661,0.9573162052403867,0.9869963011896091
58,[3],0.83688582980496,0.9085840973479721,0.8948913807658266,0.994801230039147,0.9903331792984711,0.9909254564889558
59,[0],0.9940260612460826,0.9960985559934386,0.980918145844442,0.9988255897361044,0.9901709345352164,0.9941774041888549
60,[2],0.8492009026349701,1.0,1.0,1.0,1.0,1.0
61,[1],1.0,0.9448391690726522,0.9924251581121645,1.0,1.0,0.988963386492042
62,[3],0.9949561182843019,0.9754942331745377,0.918112718669703,1.0,0.9951263153890118,0.9987840982750459
63,[3],0.9887717114024087,0.9927302853022457,0.9858029242707876,0.9993906878488641,0.9980017587382497,0.9997479906858585
64,[3],0.8365110780958487,0.8284905114239854,0.8027172485609804,0.9773456466759352,0.9823522456331466,0.9790915843469752
65,[3],0.9776535300678024,0.9837777506312188,0.9456874794691947,0.9994638071187534,0.9980241687886678,0.9985982077647648
66,[3],0.9600272453166455,0.921259844782479,0.964003700330653,0.9856686698811682,0.994138536668344,0.9853489291322864
67,[2],0.7914061821734908,0.9419722548511216,0.9241139325783767,0.8064617240415966,0.7741474572051805,0.9162657716271845
68,[3],0.9857337871250418,0.9285514065852125,0.9290307150247145,0.9999934169753327,0.9988056595325735,0.9974650646331159
69,[3],0.9897803928733679,0.9956827529798865,0.9685046790294783,0.9984992379430435,0.9982097103395391,0.9989790497289944
70,[3],0.9959376677575624,0.9939354028525585,0.9701698951939501,0.9852697595067347,0.9995864990150456,0.9981638757004174
71,[3],0.9572775645956767,0.9675258025353519,0.9587274014380378,0.9932239071952083,0.9999172277727281,0.998141719307478
72,[3],0.9739081789815422,0.989361767269603,0.9918074691284091,0.9965631015671604,0.9996119245589298,0.99311345020982
